shipping_mode,orders,late_orders,late_rate,sales,profit,avg_shipping_days,avg_scheduled_days,avg_shipping_gap,profit_margin
Standard Class,39324,41023,0.38071683124211153,22022391.879809294,2370454.452803965,3.995907268542579,4.0,-0.004092731457420744,0.10763837396687415
Second Class,12778,26987,0.766327805542935,7145444.818358915,750308.170265433,3.9908280327124035,2.0,1.9908280327124035,0.10500510315854
First Class,10079,26513,0.9532249946070325,5674369.758202553,643121.920739061,2.0,1.0,1.0,0.11333803543722186
Same Day,3571,4454,0.4574304200472425,1942528.557009085,203018.430241898,0.4782787306151792,0.0,0.4782787306151792,0.10451245594787335
